"Strategia 1","Strategia 2","p.value","Decyzja"
"removal_max_knn_MI","removal_min_knn_MI",6.56899169868076e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_knn_none",6.61565538343936e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_median-frequency_MI",6.62502261318312e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_median-frequency_none",6.5876227272129e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_median-other_BORUTA",6.60629966710626e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_median-other_MCFS",6.5876227272129e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_median-other_MI",6.61565538343936e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_median-other_none",6.59695545231669e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_median-other_VI",6.44900257918667e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_mice_BORUTA",6.61565538343936e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_mice_MI",6.57830147994709e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_mice_none",6.62502261318312e-08,"Odrzucamy H"
"removal_max_knn_none","removal_max_knn_BORUTA",0.956792540881645,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_max_knn_MI",0.36380452262309,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_max_median-frequency_BORUTA",6.61565538343936e-08,"Odrzucamy H"
"removal_max_knn_none","removal_max_median-frequency_MI",6.5876227272129e-08,"Odrzucamy H"
"removal_max_knn_none","removal_max_median-frequency_none",6.65319350169531e-08,"Odrzucamy H"
"removal_max_knn_none","removal_max_median-other_BORUTA",2.49757900423474e-07,"Odrzucamy H"
"removal_max_knn_none","removal_max_median-other_MCFS",6.62502261318312e-08,"Odrzucamy H"
"removal_max_knn_none","removal_max_median-other_MI",2.88132804286196e-07,"Odrzucamy H"
"removal_max_knn_none","removal_max_median-other_none",2.51053681108008e-07,"Odrzucamy H"
"removal_max_knn_none","removal_max_median-other_VI",2.49757900423474e-07,"Odrzucamy H"
"removal_max_knn_none","removal_max_mice_none",2.50729197009824e-07,"Odrzucamy H"
"removal_max_knn_none","removal_med_knn_BORUTA",6.65319350169531e-08,"Odrzucamy H"
"removal_max_knn_none","removal_med_knn_MI",6.60629966710626e-08,"Odrzucamy H"
"removal_max_knn_none","removal_med_knn_none",6.64379166041979e-08,"Odrzucamy H"
"removal_max_knn_none","removal_med_median-frequency_BORUTA",7.72327392981147e-08,"Odrzucamy H"
"removal_max_knn_none","removal_med_median-frequency_MI",7.66935431580014e-08,"Odrzucamy H"
"removal_max_knn_none","removal_med_median-frequency_none",8.92211241520645e-08,"Odrzucamy H"
