,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_max_features,param_max_depth,param_criterion,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,Dataset,Strategia
0,0.7304528236389161,0.1850938133009101,0.06622533798217774,0.03483092486450156,300,2,log2,60,gini,0.9970871327254306,0.9963210978835979,0.9971668956043956,1.0,0.9999160933042457,0.9980982439035339,0.0015472075580917851,7,banknote-authentication,removal_max_knn_BORUTA
1,0.8509425163269043,0.08257452546223369,0.07141699790954589,0.007803243148292787,500,2,log2,100,entropy,0.9972137791286727,0.9964451058201058,0.9969522664835164,1.0,0.9999160933042456,0.9981054489473081,0.001532931886215125,3,banknote-authentication,removal_max_knn_BORUTA
2,1.9111410617828368,0.6408508582487762,0.15585899353027344,0.05668302984170003,500,2,log2,60,gini,0.9972137791286727,0.9964451058201058,0.9969522664835164,1.0,0.9999160933042456,0.9981054489473081,0.001532931886215125,3,banknote-authentication,removal_max_knn_BORUTA
3,1.0279270648956298,0.4399259655098863,0.0827446460723877,0.031064257645110928,200,5,log2,40,entropy,0.9976359338061467,0.994460978835979,0.9965659340659341,1.0,0.9999160933042456,0.9977157880024612,0.0020967256067017204,17,banknote-authentication,removal_max_knn_BORUTA
4,1.3931079864501954,0.5580779410956831,0.08297319412231445,0.028964676691166997,500,5,sqrt,80,gini,0.9979736575481256,0.994212962962963,0.9965659340659341,1.0,0.9999160933042457,0.9977337295762536,0.0021778798132897,13,banknote-authentication,removal_max_knn_BORUTA
5,0.6801445007324218,0.09613217403685727,0.04957866668701172,0.010175582062489504,400,5,log2,80,entropy,0.9978047956771361,0.9942956349206349,0.9965659340659341,1.0,0.9999160933042457,0.9977164915935901,0.0021487903080655746,15,banknote-authentication,removal_max_knn_BORUTA
6,0.4716817855834961,0.06271244972669675,0.043053293228149415,0.008051442654487767,300,5,sqrt,60,gini,0.9977203647416413,0.9942956349206349,0.9964800824175823,1.0,0.9999160933042456,0.9976824350768208,0.0021576766265909786,18,banknote-authentication,removal_max_knn_BORUTA
7,1.7955188751220703,1.274266953320461,0.16889352798461915,0.18813957049495375,500,5,log2,20,gini,0.9979736575481257,0.9942956349206349,0.9966517857142857,1.0,0.9999160933042457,0.9977674342974584,0.0021420399551257867,11,banknote-authentication,removal_max_knn_BORUTA
8,1.0089556694030761,0.19023677335928585,0.08205842971801758,0.03087236378928235,400,5,log2,,gini,0.9978047956771361,0.9942956349206349,0.9965659340659341,1.0,0.9999160933042457,0.9977164915935901,0.0021487903080655746,15,banknote-authentication,removal_max_knn_BORUTA
9,0.15520477294921875,0.008879232046704799,0.017325592041015626,0.0022509187596767974,100,5,sqrt,100,entropy,0.9979736575481256,0.9948743386243386,0.9973385989010989,1.0,0.9997482799127371,0.9979869749972601,0.0018581463221984376,9,banknote-authentication,removal_max_knn_BORUTA
10,0.7269122123718261,0.1586840146316131,0.06068921089172363,0.01620022421293412,500,5,sqrt,20,gini,0.9979736575481257,0.9942956349206349,0.9966517857142857,1.0,0.9999160933042457,0.9977674342974584,0.0021420399551257867,11,banknote-authentication,removal_max_knn_BORUTA
11,1.2421887397766114,0.29115704490780975,0.09069380760192872,0.032383926614916604,500,2,sqrt,80,entropy,0.9972137791286727,0.9964451058201058,0.9969522664835164,1.0,0.9999160933042456,0.9981054489473081,0.001532931886215125,3,banknote-authentication,removal_max_knn_BORUTA
12,1.2928465843200683,0.7259978991195248,0.06427512168884278,0.005075578546500661,500,2,sqrt,100,entropy,0.9972137791286727,0.9964451058201058,0.9969522664835164,1.0,0.9999160933042456,0.9981054489473081,0.001532931886215125,3,banknote-authentication,removal_max_knn_BORUTA
13,0.41782174110412595,0.02066586089265776,0.03571085929870606,0.004150661139095977,400,10,sqrt,20,entropy,0.9981425194191151,0.992146164021164,0.9963083791208791,0.9995733060249189,0.9999160933042457,0.9972172923780646,0.0028366472442677847,19,banknote-authentication,removal_max_knn_BORUTA
14,0.10368151664733886,0.004651817427779477,0.011615657806396484,0.0014626347769874754,100,10,log2,100,gini,0.9970449172576832,0.9924768518518519,0.9961366758241759,0.9998293224099676,1.0,0.9970975534687359,0.002762741293206046,20,banknote-authentication,removal_max_knn_BORUTA
15,0.11906023025512695,0.01045125924259974,0.01248307228088379,0.0012902990358288251,100,5,log2,,entropy,0.9979736575481256,0.9948743386243386,0.9973385989010989,1.0,0.9997482799127371,0.9979869749972601,0.0018581463221984376,9,banknote-authentication,removal_max_knn_BORUTA
16,0.11760258674621582,0.01570281403635241,0.011893653869628906,0.0017742593227695685,100,2,log2,,entropy,0.9981425194191152,0.99619708994709,0.9965659340659341,0.9999146612049838,0.9999160933042457,0.9981472595882737,0.0015846927585945368,2,banknote-authentication,removal_max_knn_BORUTA
17,0.5370673179626465,0.023207610003958223,0.044311809539794925,0.0027562555869837854,500,5,log2,60,entropy,0.9979736575481256,0.994212962962963,0.9965659340659341,1.0,0.9999160933042457,0.9977337295762536,0.0021778798132897,13,banknote-authentication,removal_max_knn_BORUTA
18,0.22904505729675292,0.024225035870292184,0.02020292282104492,0.0012871827903706192,200,2,log2,100,gini,0.9979314420803782,0.99619708994709,0.9972956730769231,0.9999146612049838,0.9999160933042457,0.9982509919227243,0.001467897654189775,1,banknote-authentication,removal_max_knn_BORUTA
