"Strategia 1","Strategia 2","p.value","Decyzja"
"removal_max_knn_MI","removal_med_mice_none",7.80329780303165e-09,"Odrzucamy H"
"removal_max_knn_MI","removal_min_knn_BORUTA",7.80329780303165e-09,"Odrzucamy H"
"removal_max_knn_MI","removal_min_knn_MI",7.80329780303165e-09,"Odrzucamy H"
"removal_max_knn_MI","removal_min_knn_none",7.80329780303165e-09,"Odrzucamy H"
"removal_max_knn_MI","removal_min_median-frequency_MI",7.80329780303165e-09,"Odrzucamy H"
"removal_max_knn_MI","removal_min_median-frequency_none",7.80329780303165e-09,"Odrzucamy H"
"removal_max_knn_MI","removal_min_median-other_BORUTA",7.80329780303165e-09,"Odrzucamy H"
"removal_max_knn_MI","removal_min_median-other_MCFS",7.80329780303165e-09,"Odrzucamy H"
"removal_max_knn_MI","removal_min_median-other_MI",7.80329780303165e-09,"Odrzucamy H"
"removal_max_knn_MI","removal_min_median-other_none",7.80329780303165e-09,"Odrzucamy H"
"removal_max_knn_MI","removal_min_median-other_VI",7.80329780303165e-09,"Odrzucamy H"
"removal_max_knn_MI","removal_min_mice_BORUTA",7.80329780303165e-09,"Odrzucamy H"
"removal_max_knn_MI","removal_min_mice_MI",7.80329780303165e-09,"Odrzucamy H"
"removal_max_knn_MI","removal_min_mice_none",7.80329780303165e-09,"Odrzucamy H"
"removal_max_knn_none","removal_max_knn_BORUTA",0.497708621674694,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_max_knn_MI",0.724317179100713,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_max_median-frequency_BORUTA",0.913675282393072,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_max_median-frequency_MI",0.849412683134338,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_max_median-frequency_none",0.18405061256663,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_max_median-other_BORUTA",0.183512939848967,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_max_median-other_MCFS",0.480733257916657,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_max_median-other_MI",0.370941258591688,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_max_median-other_none",0.828334212748132,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_max_median-other_VI",0.693989976590563,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_max_mice_none",0.392992000029103,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_med_knn_BORUTA",7.86089730140819e-09,"Odrzucamy H"
"removal_max_knn_none","removal_med_knn_MI",7.86089730140819e-09,"Odrzucamy H"
"removal_max_knn_none","removal_med_knn_none",7.86089730140819e-09,"Odrzucamy H"
"removal_max_knn_none","removal_med_median-frequency_BORUTA",7.86089730140819e-09,"Odrzucamy H"
"removal_max_knn_none","removal_med_median-frequency_MI",7.86089730140819e-09,"Odrzucamy H"
"removal_max_knn_none","removal_med_median-frequency_none",7.86089730140819e-09,"Odrzucamy H"
"removal_max_knn_none","removal_med_median-other_MCFS",7.86089730140819e-09,"Odrzucamy H"
"removal_max_knn_none","removal_med_median-other_none",7.86089730140819e-09,"Odrzucamy H"
"removal_max_knn_none","removal_med_median-other_VI",7.86089730140819e-09,"Odrzucamy H"
"removal_max_knn_none","removal_med_mice_none",7.86089730140819e-09,"Odrzucamy H"
"removal_max_knn_none","removal_min_knn_BORUTA",7.86089730140819e-09,"Odrzucamy H"
"removal_max_knn_none","removal_min_knn_MI",7.86089730140819e-09,"Odrzucamy H"
"removal_max_knn_none","removal_min_knn_none",7.86089730140819e-09,"Odrzucamy H"
"removal_max_knn_none","removal_min_median-frequency_MI",7.86089730140819e-09,"Odrzucamy H"
"removal_max_knn_none","removal_min_median-frequency_none",7.86089730140819e-09,"Odrzucamy H"
"removal_max_knn_none","removal_min_median-other_BORUTA",7.86089730140819e-09,"Odrzucamy H"
"removal_max_knn_none","removal_min_median-other_MCFS",7.86089730140819e-09,"Odrzucamy H"
"removal_max_knn_none","removal_min_median-other_MI",7.86089730140819e-09,"Odrzucamy H"
"removal_max_knn_none","removal_min_median-other_none",7.86089730140819e-09,"Odrzucamy H"
