,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_max_features,param_max_depth,param_criterion,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.3811957836151123,0.008854740828305351,0.032468557357788086,0.0010339535659515567,400,10,sqrt,,gini,0.9978892266126309,0.9923115079365079,0.9961366758241759,0.9994879672299026,0.9999160933042457,0.9971482941814926,0.002760494003087668,19
1,0.6957436561584472,0.0930360370547885,0.05142049789428711,0.007637145735327057,500,2,sqrt,40,entropy,0.9972137791286727,0.9964451058201058,0.9969522664835164,1.0,0.9999160933042456,0.9981054489473081,0.001532931886215125,5
2,0.34032354354858396,0.017995022506019486,0.027580404281616212,0.00263840384934356,300,5,log2,20,entropy,0.9978047956771361,0.9946263227513227,0.9963942307692307,1.0,0.9999160933042457,0.9977482885003871,0.0020665390334460767,10
3,0.20947694778442383,0.008522019816106003,0.018335580825805664,0.000697833496940981,200,5,log2,100,entropy,0.9976359338061467,0.994460978835979,0.9965659340659341,1.0,0.9999160933042456,0.9977157880024612,0.0020967256067017204,11
4,0.3047611713409424,0.01579764239202057,0.027438783645629884,0.002170039336539472,300,10,log2,60,gini,0.9976359338061466,0.9923941798941798,0.9963083791208791,0.999573306024919,0.9999160933042457,0.997165578430074,0.002723407904366732,15
5,0.2177577018737793,0.0058633689098326214,0.020374536514282227,0.001823201443836079,200,2,sqrt,80,gini,0.9979314420803782,0.99619708994709,0.9972956730769231,0.9999146612049838,0.9999160933042457,0.9982509919227243,0.001467897654189775,1
6,0.338212251663208,0.016302869622115943,0.025805091857910155,0.0006919801727818421,300,2,log2,100,entropy,0.9970871327254306,0.9963210978835979,0.9971668956043956,1.0,0.9999160933042457,0.9980982439035339,0.0015472075580917851,6
7,0.21866397857666015,0.01647062971016609,0.018689537048339845,0.0009169888453967308,200,2,sqrt,20,gini,0.9981425194191151,0.9963624338624338,0.9960508241758241,1.0,1.0,0.9981111554914746,0.001699378905180073,4
8,0.10394783020019531,0.004494847066015518,0.011083555221557618,0.0006970329737019071,100,10,sqrt,100,entropy,0.9970449172576832,0.9924768518518519,0.9961366758241759,0.9998293224099676,1.0,0.9970975534687359,0.002762741293206046,20
9,0.5082959651947021,0.008405159534169024,0.042669057846069336,0.0014813908980540558,500,5,sqrt,20,gini,0.9979736575481257,0.9942956349206349,0.9966517857142857,1.0,0.9999160933042457,0.9977674342974584,0.0021420399551257867,9
10,0.4986663818359375,0.017370777032966685,0.04241786003112793,0.002534482908456279,500,10,sqrt,80,entropy,0.9979736575481256,0.9924768518518519,0.9960508241758241,0.9994879672299027,0.9999160933042457,0.9971810788219899,0.0027143119324642066,14
11,0.11279296875,0.0031295017662934794,0.010799837112426759,0.000952535001178178,100,2,log2,80,entropy,0.9981425194191152,0.99619708994709,0.9965659340659341,0.9999146612049838,0.9999160933042457,0.9981472595882737,0.0015846927585945368,3
12,0.10403375625610352,0.0013961066816080738,0.010822582244873046,0.0014345425663836544,100,5,sqrt,60,entropy,0.9979736575481256,0.9948743386243386,0.9973385989010989,1.0,0.9997482799127371,0.9979869749972601,0.0018581463221984376,8
13,0.4547459602355957,0.03358086002333392,0.03619160652160645,0.003268782695725709,400,2,sqrt,,gini,0.9969604863221884,0.9965691137566137,0.9969093406593407,1.0,0.9999160933042457,0.9980710068084777,0.00154685265242435,7
14,0.3096418857574463,0.003592531571972229,0.02642993927001953,0.0008887893056874479,300,5,log2,40,entropy,0.9977203647416413,0.9942956349206349,0.9964800824175823,1.0,0.9999160933042456,0.9976824350768208,0.0021576766265909786,12
15,0.29866738319396974,0.0077747365500831726,0.026462459564208986,0.000476260948126116,300,10,sqrt,,gini,0.9976359338061466,0.9923941798941798,0.9963083791208791,0.999573306024919,0.9999160933042457,0.997165578430074,0.002723407904366732,15
16,0.28882837295532227,0.0031386645842924206,0.025314807891845703,0.0014920042816371957,300,10,log2,20,gini,0.9975515028706518,0.9923115079365079,0.9963942307692307,0.9995733060249189,0.9999160933042457,0.997149328181111,0.0027447068745238747,18
17,0.20701246261596679,0.008937780224234793,0.020526933670043945,0.0027192325319978523,200,10,sqrt,40,gini,0.9976359338061466,0.992228835978836,0.9964800824175825,0.9994879672299027,0.9999160933042457,0.9971497825473428,0.0027575401811705483,17
18,0.5330933094024658,0.022473908201774105,0.04154610633850098,0.000632977844420516,500,10,log2,20,entropy,0.9981425194191151,0.992559523809524,0.9961366758241759,0.9995733060249189,0.9999160933042457,0.997265623676396,0.0027033768669366973,13
19,0.11791372299194336,0.01115557658462265,0.011734390258789062,0.0010587414903844247,100,2,log2,20,entropy,0.9986491050320837,0.996114417989418,0.9963942307692308,0.9999146612049837,0.9999160933042456,0.9981977016599923,0.0016551231393716636,2
