"Strategia 1","Strategia 2","p.value","Decyzja"
"removal_max_knn_MI","removal_min_knn_MI",6.74784973735993e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_knn_none",6.72882542914542e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_median-frequency_MI",6.7573794063139e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_median-frequency_none",6.70037636116497e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_median-other_BORUTA",6.7573794063139e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_median-other_MCFS",6.7573794063139e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_median-other_MI",6.76692076784542e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_median-other_none",6.74784973735993e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_median-other_VI",6.76692076784542e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_mice_BORUTA",6.76692076784542e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_mice_MI",6.71933076588958e-08,"Odrzucamy H"
"removal_max_knn_MI","removal_min_mice_none",6.76692076784542e-08,"Odrzucamy H"
"removal_max_knn_none","removal_max_knn_BORUTA",0.0496813823721406,"Odrzucamy H"
"removal_max_knn_none","removal_max_knn_MI",0.818099158582445,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_max_median-frequency_BORUTA",6.74784973735993e-08,"Odrzucamy H"
"removal_max_knn_none","removal_max_median-frequency_MI",6.7573794063139e-08,"Odrzucamy H"
"removal_max_knn_none","removal_max_median-frequency_none",6.78603861673865e-08,"Odrzucamy H"
"removal_max_knn_none","removal_max_median-other_BORUTA",6.74784973735993e-08,"Odrzucamy H"
"removal_max_knn_none","removal_max_median-other_MCFS",6.73833174897126e-08,"Odrzucamy H"
"removal_max_knn_none","removal_max_median-other_MI",6.74784973735993e-08,"Odrzucamy H"
"removal_max_knn_none","removal_max_median-other_none",6.77647383397646e-08,"Odrzucamy H"
"removal_max_knn_none","removal_max_median-other_VI",6.74784973735993e-08,"Odrzucamy H"
"removal_max_knn_none","removal_max_mice_none",6.73833174897126e-08,"Odrzucamy H"
"removal_max_knn_none","removal_med_knn_BORUTA",0.424579149640295,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_med_knn_MI",0.95683106952752,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_med_knn_none",0.92454802505474,"Nie ma podstaw do odrzucenia H"
"removal_max_knn_none","removal_med_median-frequency_BORUTA",6.7573794063139e-08,"Odrzucamy H"
"removal_max_knn_none","removal_med_median-frequency_MI",6.76692076784542e-08,"Odrzucamy H"
"removal_max_knn_none","removal_med_median-frequency_none",6.76692076784542e-08,"Odrzucamy H"
"removal_max_knn_none","removal_med_median-other_MCFS",6.7573794063139e-08,"Odrzucamy H"
"removal_max_knn_none","removal_med_median-other_none",6.74784973735993e-08,"Odrzucamy H"
"removal_max_knn_none","removal_med_median-other_VI",6.76692076784542e-08,"Odrzucamy H"
"removal_max_knn_none","removal_med_mice_none",6.76692076784542e-08,"Odrzucamy H"
"removal_max_knn_none","removal_min_knn_BORUTA",2.04126077131793e-06,"Odrzucamy H"
"removal_max_knn_none","removal_min_knn_MI",6.74784973735993e-08,"Odrzucamy H"
"removal_max_knn_none","removal_min_knn_none",6.72882542914542e-08,"Odrzucamy H"
"removal_max_knn_none","removal_min_median-frequency_MI",6.7573794063139e-08,"Odrzucamy H"
"removal_max_knn_none","removal_min_median-frequency_none",6.70037636116497e-08,"Odrzucamy H"
"removal_max_knn_none","removal_min_median-other_BORUTA",6.7573794063139e-08,"Odrzucamy H"
"removal_max_knn_none","removal_min_median-other_MCFS",6.7573794063139e-08,"Odrzucamy H"
"removal_max_knn_none","removal_min_median-other_MI",6.76692076784542e-08,"Odrzucamy H"
"removal_max_knn_none","removal_min_median-other_none",6.74784973735993e-08,"Odrzucamy H"
"removal_max_knn_none","removal_min_median-other_VI",6.76692076784542e-08,"Odrzucamy H"
"removal_max_knn_none","removal_min_mice_BORUTA",6.76692076784542e-08,"Odrzucamy H"
"removal_max_knn_none","removal_min_mice_MI",6.71933076588958e-08,"Odrzucamy H"
"removal_max_knn_none","removal_min_mice_none",6.76692076784542e-08,"Odrzucamy H"
"removal_max_median-frequency_BORUTA","removal_max_knn_BORUTA",6.68146843904868e-08,"Odrzucamy H"
"removal_max_median-frequency_BORUTA","removal_max_knn_MI",6.74784973735993e-08,"Odrzucamy H"
"removal_max_median-frequency_BORUTA","removal_max_knn_none",6.74784973735993e-08,"Odrzucamy H"
"removal_max_median-frequency_BORUTA","removal_max_median-frequency_MI",0.303700244334764,"Nie ma podstaw do odrzucenia H"
"removal_max_median-frequency_BORUTA","removal_max_median-frequency_none",0.786599041569058,"Nie ma podstaw do odrzucenia H"
"removal_max_median-frequency_BORUTA","removal_max_median-other_BORUTA",0.616327769266989,"Nie ma podstaw do odrzucenia H"
"removal_max_median-frequency_BORUTA","removal_max_median-other_MCFS",0.98919775293036,"Nie ma podstaw do odrzucenia H"
"removal_max_median-frequency_BORUTA","removal_max_median-other_MI",0.82847728781149,"Nie ma podstaw do odrzucenia H"
"removal_max_median-frequency_BORUTA","removal_max_median-other_none",0.607032704363147,"Nie ma podstaw do odrzucenia H"
"removal_max_median-frequency_BORUTA","removal_max_median-other_VI",0.175929964419828,"Nie ma podstaw do odrzucenia H"
"removal_max_median-frequency_BORUTA","removal_max_mice_none",0.208261426469942,"Nie ma podstaw do odrzucenia H"
"removal_max_median-frequency_BORUTA","removal_med_knn_BORUTA",6.73833174897126e-08,"Odrzucamy H"
"removal_max_median-frequency_BORUTA","removal_med_knn_MI",6.74784973735993e-08,"Odrzucamy H"
"removal_max_median-frequency_BORUTA","removal_med_knn_none",6.72882542914542e-08,"Odrzucamy H"
"removal_max_median-frequency_BORUTA","removal_med_median-frequency_BORUTA",0.967608784355402,"Nie ma podstaw do odrzucenia H"
"removal_max_median-frequency_BORUTA","removal_med_median-frequency_MI",0.674740767725749,"Nie ma podstaw do odrzucenia H"
"removal_max_median-frequency_BORUTA","removal_med_median-frequency_none",0.233702898814878,"Nie ma podstaw do odrzucenia H"
"removal_max_median-frequency_BORUTA","removal_med_median-other_MCFS",0.674812778969653,"Nie ma podstaw do odrzucenia H"
"removal_max_median-frequency_BORUTA","removal_med_median-other_none",0.606863725606761,"Nie ma podstaw do odrzucenia H"
"removal_max_median-frequency_BORUTA","removal_med_median-other_VI",0.175929964419828,"Nie ma podstaw do odrzucenia H"
"removal_max_median-frequency_BORUTA","removal_med_mice_none",0.02223226764945,"Odrzucamy H"
"removal_max_median-frequency_BORUTA","removal_min_knn_BORUTA",0.000198056612475835,"Odrzucamy H"
"removal_max_median-frequency_BORUTA","removal_min_knn_MI",0.00332435129305241,"Odrzucamy H"
"removal_max_median-frequency_BORUTA","removal_min_knn_none",0.0293647984675753,"Odrzucamy H"
"removal_max_median-frequency_BORUTA","removal_min_median-frequency_MI",2.93341143052996e-07,"Odrzucamy H"
"removal_max_median-frequency_BORUTA","removal_min_median-frequency_none",2.52029293685709e-07,"Odrzucamy H"
"removal_max_median-frequency_BORUTA","removal_min_median-other_BORUTA",0.0359873309431833,"Odrzucamy H"
"removal_max_median-frequency_BORUTA","removal_min_median-other_MCFS",4.5074654953134e-06,"Odrzucamy H"
"removal_max_median-frequency_BORUTA","removal_min_median-other_MI",5.18859597134317e-07,"Odrzucamy H"
"removal_max_median-frequency_BORUTA","removal_min_median-other_none",1.03757860753979e-06,"Odrzucamy H"
"removal_max_median-frequency_BORUTA","removal_min_median-other_VI",4.50537600902324e-07,"Odrzucamy H"
"removal_max_median-frequency_BORUTA","removal_min_mice_BORUTA",0.000684428507606216,"Odrzucamy H"
